,Unnamed: 0,Age,Gender,Education Level,Job Title,Years of Experience,Country,Race,height,weight,id,professionalism
2477,2477,52.0,M,bachelor's|degr,back|end|develope,24.0,australi,Asian,1.8003155145639764,95.02195734157718,2477,1150.0
76,76,52.0,F,bachelor,operations|manage,23.0,us,White,2.451413700723853,87.4560390684816,76,1100.0
64,64,27.0,M,bachelor,junior|accountan,2.0,australi,Australian,1.9175088334394614,56.997107640085865,64,26.0
924,924,32.0,M,bachelor,data|analys,11.0,u,Welsh,2.160561891060391,61.403169437453805,924,279.0
242,242,39.0,F,bachelor,senior|product|manage,11.0,chin,Korean,1.7941054542897845,72.04921025148467,242,380.0
5544,5544,34.0,F,master's|degr,marketing|manage,11.0,us,White,2.0684653865244282,77.71327939341788,5544,297.0
6017,6017,34.0,F,bachelor's|degr,marketing|manage,9.0,u,White,2.1187338761052796,54.6836925239905,6017,256.0
4992,4992,29.0,F,p,director|of|marketin,7.0,chin,Chinese,1.8113221847804768,46.313429614176144,4992,168.0
5318,5318,39.0,M,bachelor's|degr,product|manage,14.0,australi,Australian,1.845132466533741,66.60364451608507,5318,494.0
4281,4281,46.0,M,p,data|scientis,21.0,australi,Asian,2.209771136835391,92.14427256419997,4281,855.0
2979,2979,42.0,M,master's|degr,software|engineer|manage,19.0,us,African American,2.3498920646959043,86.96724139253288,2979,680.0
5063,5063,30.0,F,master's|degr,marketing|manage,9.0,canad,Asian,1.523984879712492,59.40740174866282,5063,196.0
2837,2837,37.0,M,master's|degr,full|stack|enginee,14.0,u,Asian,2.1369636997851265,84.06183712350297,2837,468.0
4592,4592,32.0,M,p,senior|human|resources|manage,9.0,australi,Australian,1.9658644556542728,87.66452324970092,4592,217.0
2513,2513,42.0,F,p,software|engineer|manage,14.0,us,Asian,1.5063831887239356,97.11451537218434,2513,533.0
5719,5719,32.0,F,p,data|scientis,9.0,u,White,2.104901132943235,60.05102541042771,5719,248.0
3595,3595,37.0,F,master's|degr,web|develope,9.0,australi,Asian,1.879071555546905,86.94553941090285,3595,252.0
5653,5653,37.0,F,p,research|scientis,13.0,australi,Australian,2.145820501840345,57.33142356868002,5653,432.0
4499,4499,34.0,F,master's|degr,marketing|manage,7.0,u,White,2.014104213005426,50.97392604785235,4499,192.0
5501,5501,38.0,M,p,research|scientis,14.0,u,White,1.9982554007231452,64.25865072812469,5501,468.0
5859,5859,30.0,F,bachelor's|degr,marketing|analys,4.0,us,White,2.084790438395873,59.49569264358272,5859,84.0
1632,1632,55.0,M,p,software|engineer|manage,19.0,chin,White,2.4881702841631226,106.50234696938328,1632,918.0
887,887,31.0,F,master,data|scientis,7.0,australi,Australian,1.8071289606500516,70.22709824091122,887,174.0
3569,3569,47.0,M,p,director|of|h,15.0,chin,Korean,1.6894460721305151,92.64636832270956,3569,585.0
4358,4358,43.0,F,master's|degr,marketing|coordinato,15.0,australi,Asian,2.275673384877936,59.6866802153595,4358,533.0
193,193,36.0,M,bachelor,senior|product|manage,9.0,chin,Chinese,2.461590082709771,90.9423837010131,193,238.0
6353,6353,29.0,M,master's|degr,digital|marketing|manage,4.0,chin,White,2.165092196656132,51.671426784443305,6353,81.0
2834,2834,32.0,F,master's|degr,full|stack|enginee,6.0,australi,White,1.9685544052683208,62.61551386537148,2834,150.0
5344,5344,35.0,M,p,research|scientis,11.0,us,White,2.4739498394561017,62.56740423709171,5344,330.0
5884,5884,31.0,M,bachelor's|degr,marketing|analys,5.0,chin,White,1.8555452376868016,70.34812002439654,5884,87.0
1255,1255,31.0,F,bachelor's|degr,back|end|develope,4.0,australi,Australian,2.4543481711302855,58.88331255231363,1255,87.0
557,557,35.0,F,master,product|manage,14.0,u,Mixed,2.2019162320684322,61.57764081731875,557,408.0
5561,5561,27.0,M,bachelor's|degr,product|manage,3.0,chin,Chinese,1.504714389350428,42.968039183599934,5561,25.0
2772,2772,32.0,F,bachelor's|degr,software|enginee,7.0,chin,Korean,1.9334200285713194,70.40346326996337,2772,150.0
6417,6417,46.0,M,master's|degr,marketing|manage,14.0,canad,Asian,2.3096910638838724,92.16766243028286,6417,585.0
3186,3186,30.0,M,bachelor's|degr,front|end|develope,6.0,canad,Asian,1.8708354948203165,69.52840203788543,3186,116.0
6081,6081,29.0,M,bachelor's|degr,software|enginee,4.0,us,African American,1.6218238646911483,57.01646698507629,6081,81.0
1294,1294,46.0,F,master's|degr,senior|software|enginee,13.0,canad,White,1.6142232067163418,93.12891712047983,1294,484.0
2175,2175,34.0,F,bachelor's|degr,full|stack|enginee,9.0,australi,Australian,2.1311609788854886,71.16548109662266,2175,231.0
4970,4970,33.0,M,bachelor's|degr,sales|directo,10.0,chin,Korean,1.5093011249926451,41.711571500863,4970,279.0
969,969,31.0,M,p,data|scientis,9.0,canad,Black,1.5877130471298622,59.62059893606607,969,210.0
5743,5743,26.0,F,high|scho,receptionis,2.0,australi,Asian,2.4792790122526625,49.20948978528544,5743,0.0
3443,3443,38.0,M,p,director|of|h,14.0,u,Asian,1.9934459875685449,74.3522157792604,3443,444.0
1339,1339,27.0,M,bachelor's|degr,front|end|develope,3.0,canad,White,1.5300873810352345,33.49648793187587,1339,52.0
6545,6545,52.0,F,master's|degr,content|marketing|manage,21.0,canad,White,2.415387464300769,104.992526585388,6545,950.0
5995,5995,35.0,F,master's|degr,marketing|manage,10.0,u,Welsh,1.5607404828554996,50.708102909806286,5995,297.0
4914,4914,29.0,F,p,director|of|marketin,8.0,australi,White,1.5136447118587937,47.9065713424203,4914,168.0
5912,5912,28.0,M,bachelor's|degr,software|enginee,5.0,australi,White,2.2705937800776352,66.2541469742521,5912,81.0
1919,1919,32.0,F,master's|degr,front|end|develope,6.0,u,White,2.2848991515939283,70.3649286911973,1919,150.0
1087,1087,25.0,M,bachelor,data|analys,4.0,canad,Asian,2.073699960558762,59.49774765076436,1087,48.0
101,101,37.0,M,master,product|marketing|manage,10.0,chin,White,2.496766039191496,62.88262954208018,101,280.0
2342,2342,27.0,F,master's|degr,software|enginee,3.0,u,Asian,2.2695473197868097,56.76910909948965,2342,50.0
3757,3757,46.0,M,p,data|scientis,19.0,canad,Black,1.6725897479893888,98.58920323224649,3757,810.0
213,213,37.0,F,bachelor,senior|marketing|analys,10.0,us,White,1.6393933391256876,78.367500731765,213,280.0
1823,1823,47.0,M,p,senior|project|enginee,17.0,canad,Asian,2.3790907290611125,99.98998141883325,1823,690.0
4247,4247,46.0,M,p,data|scientis,18.0,us,Hispanic,2.2682331236807314,89.00382008524168,4247,748.0
2688,2688,31.0,M,bachelor's|degr,front|end|develope,6.0,chin,Chinese,2.0225074884083827,61.57884253966578,2688,116.0
3047,3047,54.0,M,master's|degr,senior|software|enginee,29.0,chin,White,2.0201929124652738,117.34336835477141,3047,1404.0
5661,5661,41.0,F,bachelor's|degr,financial|manage,18.0,australi,Australian,2.4174609596352123,69.1672782557505,5661,624.0
5390,5390,33.0,F,bachelor's|degr,marketing|coordinato,5.0,australi,Asian,2.306042424736724,83.71417979984263,5390,124.0
2439,2439,50.0,M,bachelor's|degr,full|stack|enginee,23.0,chin,Korean,2.2034938065647265,108.59261525547197,2439,1078.0
4105,4105,37.0,M,bachelor's|degr,operations|manage,11.0,u,Mixed,2.0687438224463257,74.80002172897214,4105,324.0
89,89,32.0,F,bachelor,marketing|coordinato,7.0,australi,Asian,1.970735366509647,57.30119665562266,89,186.0
5325,5325,34.0,F,master's|degr,financial|manage,10.0,u,Mixed,1.5930392180218522,58.29266099985327,5325,256.0
3780,3780,33.0,M,bachelor's|degr,operations|manage,7.0,chin,White,2.0881187349459394,55.684839509390216,3780,192.0
3409,3409,27.0,F,bachelor's|degr,junior|web|develope,3.0,us,White,1.850854538697042,61.93005573675933,3409,52.0
4538,4538,34.0,M,master's|degr,web|develope,7.0,chin,White,2.1226527563404405,65.43349888317319,4538,198.0
3965,3965,34.0,M,bachelor's|degr,operations|manage,9.0,us,White,2.297625487611257,54.84047682118252,3965,231.0
5893,5893,31.0,M,bachelor's|degr,project|manage,7.0,australi,Asian,2.4136104547522574,57.384555612212395,5893,180.0
254,254,37.0,F,bachelor,senior|marketing|analys,9.0,canad,White,2.0627650482016797,64.19218298065908,254,280.0
2546,2546,34.0,F,bachelor's|degr,full|stack|enginee,10.0,us,Asian,2.112303234984239,57.68143210386685,2546,297.0
3789,3789,29.0,M,high|scho,junior|sales|associat,4.0,chin,White,2.2976574683712876,70.6366705539522,3789,54.0
3219,3219,31.0,F,bachelor's|degr,software|enginee,7.0,us,White,2.3373257171704127,64.4761738762382,3219,150.0
3484,3484,32.0,M,high|scho,junior|hr|generalis,4.0,canad,White,2.4678115165990757,73.82862723908279,3484,62.0
2868,2868,46.0,M,master's|degr,senior|software|enginee,22.0,chin,Korean,2.06271926018668,76.29798923520711,2868,945.0
3583,3583,40.0,M,master's|degr,senior|hr|generalis,11.0,us,Asian,1.9724491615952502,83.57021611930392,3583,390.0
4720,4720,34.0,F,master's|degr,senior|software|enginee,9.0,u,White,2.4491642737530936,59.355751757881094,4720,224.0
2322,2322,36.0,M,master's|degr,data|scientis,11.0,australi,White,1.7508346481005694,57.60112409527807,2322,306.0
3141,3141,31.0,M,bachelor's|degr,front|end|develope,5.0,us,African American,1.8122716139489345,93.02984731351054,3141,87.0
3988,3988,35.0,F,bachelor's|degr,human|resources|manage,8.0,chin,Korean,1.7866198672320408,77.63831964540205,3988,204.0
